"항목코드","분류","항목","판단기준","결과","점검내용","진단대상","진단대상IP","중요도","점검파일"
"U-11","계정 관리","사용자 Shell 점검","양호 : 로그인이 필요하지 않은 계정에 /bin/false(/sbin/nologin) 쉘이 부여된 경우 | 취약 : 로그인이 필요하지 않은 계정에 /bin/false(/sbin/nologin) 쉘이 부여되지 않은 경우","양호","# 로그인 셸 부여된 불필요(시스템) 계정: 없음 | # 전체 계정:셸 목록 | root: /bin/bash | daemon: /usr/sbin/nologin | bin: /usr/sbin/nologin | sys: /usr/sbin/nologin | sync: /bin/sync | games: /usr/sbin/nologin | man: /usr/sbin/nologin | lp: /usr/sbin/nologin | mail: /usr/sbin/nologin | news: /usr/sbin/nologin | uucp: /usr/sbin/nologin | proxy: /usr/sbin/nologin | www-data: /usr/sbin/nologin | backup: /usr/sbin/nologin | list: /usr/sbin/nologin | irc: /usr/sbin/nologin | _apt: /usr/sbin/nologin | nobody: /usr/sbin/nologin | systemd-network: /usr/sbin/nologin | systemd-timesync: /usr/sbin/nologin | dhcpcd: /bin/false | messagebus: /usr/sbin/nologin | syslog: /usr/sbin/nologin | systemd-resolve: /usr/sbin/nologin | uuidd: /usr/sbin/nologin | tss: /bin/false | sshd: /usr/sbin/nologin | pollinate: /bin/false | tcpdump: /usr/sbin/nologin | landscape: /usr/sbin/nologin | fwupd-refresh: /usr/sbin/nologin | polkitd: /usr/sbin/nologin | ec2-instance-connect: /usr/sbin/nologin | _chrony: /usr/sbin/nologin | ubuntu: /bin/bash | tomcat: /sbin/nologin","Linux(ubuntu)","10.0.128.149","하","/etc/passwd"
"U-12","계정 관리","세션 종료 시간 설정","양호 : Session Timeout이 600초(10분) 이하로 설정된 경우 | 취약 : Session Timeout이 600초(10분) 이하로 설정되지 않은 경우","취약","TMOUT 설정 라인 없음 — /etc/profile · /etc/profile.d/ · /etc/bashrc","Linux(ubuntu)","10.0.128.149","하","/etc/profile | /etc/profile.d | /etc/bashrc"
"U-13","계정 관리","안전한 비밀번호 암호화 알고리즘 사용","양호 : SHA-2 이상의 안전한 비밀번호 암호화 알고리즘을 사용하는 경우 | 취약 : 취약한 비밀번호 암호화 알고리즘을 사용하는 경우","양호","# /etc/login.defs | ENCRYPT_METHOD SHA512 | # /etc/pam.d (pam_unix 해시 옵션) | /etc/pam.d/common-password:password [success=1 default=ignore] pam_unix.so obscure yescrypt","Linux(ubuntu)","10.0.128.149","중","/etc/login.defs | /etc/pam.d"
"U-14","파일 및 디렉토리 관리","root 홈, 패스 디렉터리 권한 및 패스 설정","양호 : PATH 환경변수에 “.” 이 맨 앞이나 중간에 포함되지 않은 경우 | 취약 : PATH 환경변수에 “.” 이 맨 앞이나 중간에 포함된 경우","양호","root 로그인 PATH = /usr/local/jdk1.8.0_xxx/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin","Linux(ubuntu)","10.0.128.149","상","root 로그인 PATH (runuser -l root)"
"U-15","파일 및 디렉토리 관리","파일 및 디렉터리 소유자 설정","양호 : 소유자가 존재하지 않는 파일 및 디렉터리가 존재하지 않는 경우 | 취약 : 소유자가 존재하지 않는 파일 및 디렉터리가 존재하는 경우","양호","소유자/그룹 없는 파일(표본): 없음","Linux(ubuntu)","10.0.128.149","상","/ (xdev)"
"U-16","파일 및 디렉토리 관리","/etc/passwd 파일 소유자 및 권한 설정","양호 : /etc/passwd 파일의 소유자가 root이고, 권한이 644 이하인 경우 | 취약 : /etc/passwd 파일의 소유자가 root가 아니거나, 권한이 644 이하가 아닌 경우","양호","-rw-r--r-- (644) root:root  /etc/passwd","Linux(ubuntu)","10.0.128.149","상","/etc/passwd"
"U-17","파일 및 디렉토리 관리","시스템 시작 스크립트 권한 설정","양호 : 시스템 시작 스크립트 파일의 소유자가 root이고, 일반 사용자의 쓰기 권한이 제거된 경우 | 취약 : 시스템 시작 스크립트 파일의 소유자가 root가 아니거나, 일반 사용자의 쓰기 권한이 부여된 경우","양호","-rwxr-xr-x (755) root:root  /etc/init.d/acpid | -rwxr-xr-x (755) root:root  /etc/init.d/apparmor | -rwxr-xr-x (755) root:root  /etc/init.d/apport | -rwxr-xr-x (755) root:root  /etc/init.d/chrony | -rwxr-xr-x (755) root:root  /etc/init.d/console-setup.sh | -rwxr-xr-x (755) root:root  /etc/init.d/cron | -rwxr-xr-x (755) root:root  /etc/init.d/cryptdisks | -rwxr-xr-x (755) root:root  /etc/init.d/cryptdisks-early | -rwxr-xr-x (755) root:root  /etc/init.d/dbus | -rwxr-xr-x (755) root:root  /etc/init.d/grub-common | -rwxr-xr-x (755) root:root  /etc/init.d/hibagent | -rwxr-xr-x (755) root:root  /etc/init.d/irqbalance | -rwxr-xr-x (755) root:root  /etc/init.d/iscsid | -rwxr-xr-x (755) root:root  /etc/init.d/keyboard-setup.sh | -rwxr-xr-x (755) root:root  /etc/init.d/kmod | -rwxr-xr-x (755) root:root  /etc/init.d/open-iscsi | -rwxr-xr-x (755) root:root  /etc/init.d/open-vm-tools | -rwxr-xr-x (755) root:root  /etc/init.d/plymouth | -rwxr-xr-x (755) root:root  /etc/init.d/plymouth-log | -rwxr-xr-x (755) root:root  /etc/init.d/procps | -rwxr-xr-x (755) root:root  /etc/init.d/rsync | -rwxr-xr-x (755) root:root  /etc/init.d/screen-cleanup | -rwxr-xr-x (755) root:root  /etc/init.d/ssh | -rwxr-xr-x (755) root:root  /etc/init.d/sysstat | -rwxr-xr-x (755) root:root  /etc/init.d/ufw | -rwxr-xr-x (755) root:root  /etc/init.d/unattended-upgrades | -rwxr-xr-x (755) root:root  /etc/init.d/uuidd | -rwxr-xr-x (755) root:root  /etc/init.d/x11-common","Linux(ubuntu)","10.0.128.149","상","/etc/rc.d/init.d | /etc/init.d | /etc/rc.local"
"U-18","파일 및 디렉토리 관리","/etc/shadow 파일 소유자 및 권한 설정","양호 : /etc/shadow 파일의 소유자가 root이고, 권한이 400 이하인 경우 | 취약 : /etc/shadow 파일의 소유자가 root가 아니거나, 권한이 400 이하가 아닌 경우","취약","-rw-r----- (640) root:shadow  /etc/shadow","Linux(ubuntu)","10.0.128.149","상","/etc/shadow"
"U-19","파일 및 디렉토리 관리","/etc/hosts 파일 소유자 및 권한 설정","양호 : /etc/hosts 파일의 소유자가 root이고, 권한이 644 이하인 경우 | 취약 : /etc/hosts 파일의 소유자가 root가 아니거나, 권한이 644 이하가 아닌 경우","양호","-rw-r--r-- (644) root:root  /etc/hosts","Linux(ubuntu)","10.0.128.149","상","/etc/hosts"
"U-20","파일 및 디렉토리 관리","/etc/(x)inetd.conf 파일 소유자 및 권한 설정","양호 : /etc/(x)inetd.conf 파일의 소유자가 root이고, 권한이 600 이하인 경우 | 취약 : /etc/(x)inetd.conf 파일의 소유자가 root가 아니거나, 권한이 600 이하가 아닌 경우","N/A","(inetd/xinetd 미설치) | systemd 활성 socket 유닛: acpid.socket cloud-init-hotplugd.socket dbus.socket dm-event.socket iscsid.socket lvm2-lvmpolld.socket lxd-installer.socket multipathd.socket snapd.socket ssh.socket syslog.socket systemd-fsckd.socket systemd-initctl.socket systemd-journald-dev-log.socket systemd-journald.socket systemd-networkd.socket systemd-rfkill.socket systemd-sysext.socket systemd-udevd-control.socket systemd-udevd-kernel.socket uuidd.socket","Linux(ubuntu)","10.0.128.149","상","/etc/inetd.conf | systemd .socket 유닛"
"U-21","파일 및 디렉토리 관리","/etc/(r)syslog.conf 파일 소유자 및 권한 설정","양호 : /etc/(r)syslog.conf 파일의 소유자가 root(또는 bin, sys)이고, 권한이 640 이하인 경우 | 취약 : /etc/(r)syslog.conf 파일의 소유자가 root(또는 bin, sys)가 아니거나, 권한이 640 이하가 아닌 경우","취약","-rw-r--r-- (644) root:root  /etc/rsyslog.conf","Linux(ubuntu)","10.0.128.149","상","/etc/rsyslog.conf"
"U-22","파일 및 디렉토리 관리","/etc/services 파일 소유자 및 권한 설정","양호 : /etc/services 파일의 소유자가 root(또는 bin, sys)이고, 권한이 644 이하인 경우 | 취약 : /etc/services 파일의 소유자가 root(또는 bin, sys)가 아니거나, 권한이 644 이하가 아닌 경우","양호","-rw-r--r-- (644) root:root  /etc/services","Linux(ubuntu)","10.0.128.149","상","/etc/services"
"U-23","파일 및 디렉토리 관리","SUID,SGID,Sticky bit 설정 파일 점검","양호 : 주요 실행 파일의 권한에 SUID와 SGID에 대한 설정이 부여되어 있지 않은 경우 | 취약 : 주요 실행 파일의 권한에 SUID와 SGID에 대한 설정이 부여된 경우","N/A","# SUID (find / -type f -perm -4000) — 25개 | -rwsr-xr-x (4755) root:root  /snap/core22/2411/usr/bin/chfn | -rwsr-xr-x (4755) root:root  /snap/core22/2411/usr/bin/chsh | -rwsr-xr-x (4755) root:root  /snap/core22/2411/usr/bin/gpasswd | -rwsr-xr-x (4755) root:root  /snap/core22/2411/usr/bin/mount | -rwsr-xr-x (4755) root:root  /snap/core22/2411/usr/bin/newgrp | -rwsr-xr-x (4755) root:root  /snap/core22/2411/usr/bin/passwd | -rwsr-xr-x (4755) root:root  /snap/core22/2411/usr/bin/su | -rwsr-xr-x (4755) root:root  /snap/core22/2411/usr/bin/sudo | -rwsr-xr-x (4755) root:root  /snap/core22/2411/usr/bin/umount | -rwsr-xr-- (4754) root:uuidd  /snap/core22/2411/usr/lib/dbus-1.0/dbus-daemon-launch-helper | -rwsr-xr-x (4755) root:root  /snap/core22/2411/usr/lib/openssh/ssh-keysign | -rwsr-xr-x (4755) root:root  /snap/core22/2411/usr/libexec/polkit-agent-helper-1 | -rwsr-xr-x (4755) root:root  /usr/lib/polkit-1/polkit-agent-helper-1 | -rwsr-xr-x (4755) root:root  /usr/lib/openssh/ssh-keysign | -rwsr-xr-- (4754) root:messagebus  /usr/lib/dbus-1.0/dbus-daemon-launch-helper | -rwsr-xr-x (4755) root:root  /usr/bin/passwd | -rwsr-xr-x (4755) root:root  /usr/bin/sudo | -rwsr-xr-x (4755) root:root  /usr/bin/su | -rwsr-xr-x (4755) root:root  /usr/bin/gpasswd | -rwsr-xr-x (4755) root:root  /usr/bin/chsh | -rwsr-xr-x (4755) root:root  /usr/bin/umount | -rwsr-xr-x (4755) root:root  /usr/bin/mount | -rwsr-xr-x (4755) root:root  /usr/bin/chfn | -rwsr-xr-x (4755) root:root  /usr/bin/newgrp | -rwsr-xr-x (4755) root:root  /usr/bin/fusermount3 | # SGID (find / -type f -perm -2000) — 12개 | -rwxr-sr-x (2755) root:shadow  /snap/core22/2411/usr/bin/chage | -rwxr-sr-x (2755) root:shadow  /snap/core22/2411/usr/bin/expiry | -rwxr-sr-x (2755) root:UNKNOWN  /snap/core22/2411/usr/bin/ssh-agent | -rwxr-sr-x (2755) root:shadow  /snap/core22/2411/usr/sbin/pam_extrausers_chkpwd | -rwxr-sr-x (2755) root:shadow  /snap/core22/2411/usr/sbin/unix_chkpwd | -rwxr-sr-x (2755) root:shadow  /usr/sbin/unix_chkpwd | -rwxr-sr-x (2755) root:shadow  /usr/sbin/pam_extrausers_chkpwd | -rwxr-sr-x (2755) root:utmp  /usr/lib/x86_64-linux-gnu/utempter/utempter | -rwxr-sr-x (2755) root:shadow  /usr/bin/expiry | -rwxr-sr-x (2755) root:_ssh  /usr/bin/ssh-agent | -rwxr-sr-x (2755) root:shadow  /usr/bin/chage | -rwxr-sr-x (2755) root:crontab  /usr/bin/crontab","Linux(ubuntu)","10.0.128.149","상","find / -perm -4000 | -2000"
"U-24","파일 및 디렉토리 관리","사용자/시스템 환경변수 파일 소유자 및 권한 설정","양호 : 홈 디렉터리 환경변수 파일 소유자가 root 또는 해당 계정으로 지정되어 있고, 홈 디렉터리 환경변수 파일에 root 계정과 소유자만 쓰기 권한이 부여된 경우 | 취약 : 홈 디렉터리 환경변수 파일 소유자가 root 또는 해당 계정으로 지정되지 않거나, 홈 디렉터리 환경변수 파일에 root 계정과 소유자 외에 쓰기 권한이 부여된 경우","양호","# root (/root) | -rw-r--r-- (644) root:root  /root/.profile | -rw-r--r-- (644) root:root  /root/.bashrc | # ubuntu (/home/ubuntu) | -rw-r--r-- (644) ubuntu:ubuntu  /home/ubuntu/.profile | -rw-r--r-- (644) ubuntu:ubuntu  /home/ubuntu/.bashrc","Linux(ubuntu)","10.0.128.149","상","로그인 계정 홈 환경변수 파일"
"U-25","파일 및 디렉토리 관리","world writable 파일 점검","양호 : world writable 파일이 존재하지 않거나, 존재 시 설정 이유를 인지하고 있는 경우 | 취약 : world writable 파일이 존재하나 설정 이유를 인지하지 못하고 있는 경우","양호","# find / -type f -perm -0002 (world-writable, 의사FS 제외) — 0개 | (없음)","Linux(ubuntu)","10.0.128.149","상","/ (proc·sys·dev·run 제외)"
"U-26","파일 및 디렉토리 관리","/dev에 존재하지 않는 device 파일 점검","양호 : /dev 디렉터리에 대한 파일 점검 후 존재하지 않는 device 파일을 제거한 경우 | 취약 : /dev 디렉터리에 대한 파일 미점검 또는 존재하지 않는 device 파일을 방치한 경우","양호","/dev 내 일반 파일(device 아님): 없음","Linux(ubuntu)","10.0.128.149","상","/dev"
"U-27","파일 및 디렉토리 관리","$HOME/.rhosts, hosts.equiv 사용 금지","양호 : rlogin, rsh, rexec 서비스를 사용하지 않거나, 사용 시 아래와 같은 설정이 적용된 경우 | 취약 : rlogin, rsh, rexec 서비스를 사용하며 아래와 같은 설정이 적용되지 않은 경우","양호","/etc/hosts.equiv 및 모든 사용자 $HOME/.rhosts 파일 없음 — r 계열 미사용","Linux(ubuntu)","10.0.128.149","상","$HOME/.rhosts /etc/hosts.equiv"
"U-28","파일 및 디렉토리 관리","접속 IP 및 포트 제한","양호 : 접속을 허용할 특정 호스트에 대한 IP주소 및 포트 제한을 설정한 경우 | 취약 : 접속을 허용할 특정 호스트에 대한 IP주소 및 포트 제한을 설정하지 않은 경우","양호","hosts.allow 규칙 0개 / hosts.deny 규칙 0개 (기본차단 ALL:ALL 0개) | 방화벽: 활성 (AWS 보안그룹은 별도)","Linux(ubuntu)","10.0.128.149","상","/etc/hosts.allow | /etc/hosts.deny | firewall"
"U-29","파일 및 디렉토리 관리","hosts.lpd 파일 소유자 및 권한 설정","양호 : /etc/hosts.lpd 파일이 존재하지 않거나, 불가피하게 사용 시 /etc/hosts.lpd 파일의 소유자가 root이고, 권한이 600 이하인 경우 | 취약 : /etc/hosts.lpd 파일이 존재하며, 파일의 소유자가 root가 아니거나, 권한이 600 이하가 아닌 경우","양호","hosts.lpd 파일 없음","Linux(ubuntu)","10.0.128.149","하","/etc/hosts.lpd"
"U-30","파일 및 디렉토리 관리","UMASK 설정 관리","양호 : UMASK 값이 022 이상으로 설정된 경우 | 취약 : UMASK 값이 022 미만으로 설정된 경우","양호","/etc/login.defs:UMASK 022 | /etc/pam.d/common-session-noninteractive:session optional pam_umask.so | /etc/pam.d/common-session:session optional pam_umask.so","Linux(ubuntu)","10.0.128.149","중","/etc/profile | login.defs | /etc/pam.d"
"U-31","파일 및 디렉토리 관리","홈 디렉터리 소유자 및 권한 설정","양호 : 홈 디렉토리 소유자가 해당 계정이고, 타 사용자 쓰기 권한이 제거된 경우 | 취약 : 홈 디렉토리 소유자가 해당 계정이 아니거나, 타 사용자 쓰기 권한이 부여된 경우","양호","drwxr-x--- (750) ubuntu:ubuntu  /home/ubuntu  [계정:ubuntu] | drwxr-xr-x (755) tomcat:tomcat  /opt/tomcat9  [계정:tomcat]","Linux(ubuntu)","10.0.128.149","중","사용자 홈 디렉터리"
"U-32","파일 및 디렉토리 관리","홈 디렉터리로 지정한 디렉터리의 존재 관리","양호 : 홈 디렉토리가 존재하지 않는 계정이 발견되지 않는 경우 | 취약 : 홈 디렉토리가 존재하지 않는 계정이 발견된 경우","양호","ubuntu: /home/ubuntu (존재) | tomcat: /opt/tomcat9 (존재)","Linux(ubuntu)","10.0.128.149","중","/etc/passwd"
